@RELATION table
@ATTRIBUTE intelligent {1,0}
@ATTRIBUTE siam {1,0}
@ATTRIBUTE advances {1,0}
@ATTRIBUTE eurasip {1,0}
@ATTRIBUTE brazilian {1,0}
@ATTRIBUTE politics {1,0}
@ATTRIBUTE semantics {1,0}
@ATTRIBUTE concurrent {1,0}
@ATTRIBUTE chemical {1,0}
@ATTRIBUTE intelligence {1,0}
@ATTRIBUTE international {1,0}
@ATTRIBUTE image {1,0}
@ATTRIBUTE multiresolution {1,0}
@ATTRIBUTE evolution {1,0}
@ATTRIBUTE aspect {1,0}
@ATTRIBUTE multi {1,0}
@ATTRIBUTE automata {1,0}
@ATTRIBUTE bioinformatics {1,0}
@ATTRIBUTE underground {1,0}
@ATTRIBUTE artificial {1,0}
@ATTRIBUTE letters {1,0}
@ATTRIBUTE discovery {1,0}
@ATTRIBUTE review {1,0}
@ATTRIBUTE trends {1,0}
@ATTRIBUTE computer {1,0}
@ATTRIBUTE knowledge {1,0}
@ATTRIBUTE communications {1,0}
@ATTRIBUTE archives {1,0}
@ATTRIBUTE data {1,0}
@ATTRIBUTE use {1,0}
@ATTRIBUTE formalized {1,0}
@ATTRIBUTE mathematics {1,0}
@ATTRIBUTE personal {1,0}
@ATTRIBUTE programming {1,0}
@ATTRIBUTE mediated {1,0}
@ATTRIBUTE autonomous {1,0}
@ATTRIBUTE rhetoric {1,0}
@ATTRIBUTE acta {1,0}
@ATTRIBUTE cheminformatics {1,0}
@ATTRIBUTE web {1,0}
@ATTRIBUTE learning {1,0}
@ATTRIBUTE electronic {1,0}
@ATTRIBUTE history {1,0}
@ATTRIBUTE pattern {1,0}
@ATTRIBUTE presence {1,0}14mp imagem panorâmica zoom -> 76
@ATTRIBUTE modeling {1,0}
@ATTRIBUTE practice {1,0}
@ATTRIBUTE library {1,0}
@ATTRIBUTE testing {1,0}
@ATTRIBUTE notes {1,0}
@ATTRIBUTE cognition {1,0}
@ATTRIBUTE circuits {1,0}
@ATTRIBUTE methods {1,0}
@ATTRIBUTE transactions {1,0}
@ATTRIBUTE computational {1,0}
@ATTRIBUTE distributed {1,0}
@ATTRIBUTE surgery {1,0}
@ATTRIBUTE science {1,0}
@ATTRIBUTE software {1,0}
@ATTRIBUTE processing {1,0}
@ATTRIBUTE networks {1,0}
@ATTRIBUTE control {1,0}
@ATTRIBUTE maintenance {1,0}
@ATTRIBUTE environments {1,0}
@ATTRIBUTE agent {1,0}
@ATTRIBUTE imaging {1,0}
@ATTRIBUTE logic {1,0}
@ATTRIBUTE fundamenta {1,0}
@ATTRIBUTE natural {1,0}
@ATTRIBUTE mobile {1,0}
@ATTRIBUTE neurocomputing {1,0}
@ATTRIBUTE signal {1,0}
@ATTRIBUTE interconnection {1,0}
@ATTRIBUTE analysis {1,0}
@ATTRIBUTE instrumentation {1,0}
@ATTRIBUTE engineering {1,0}
@ATTRIBUTE simulation {1,0}
@ATTRIBUTE journal {1,0}
@ATTRIBUTE organization {1,0}
@ATTRIBUTE wireless {1,0}
@ATTRIBUTE fuzzy {1,0}
@ATTRIBUTE performance {1,0}
@ATTRIBUTE grammars {1,0}
@ATTRIBUTE uncertainty {1,0}
@ATTRIBUTE law {1,0}
@ATTRIBUTE parallel {1,0}
@ATTRIBUTE society {1,0}
@ATTRIBUTE communication {1,0}
@ATTRIBUTE semantic {1,0}
@ATTRIBUTE theoretical {1,0}
@ATTRIBUTE cooperative {1,0}
@ATTRIBUTE quarterly {1,0}
@ATTRIBUTE automated {1,0}
@ATTRIBUTE tugboat {1,0}
@ATTRIBUTE cryptology {1,0}
@ATTRIBUTE informaticae {1,0}
@ATTRIBUTE languages {1,0}
@ATTRIBUTE teleoperators {1,0}
@ATTRIBUTE evolutionary {1,0}
@ATTRIBUTE oriented {1,0}
@ATTRIBUTE mechanics {1,0}
@ATTRIBUTE report {1,0}
@ATTRIBUTE qsar {1,0}
@ATTRIBUTE aided {1,0}
@ATTRIBUTE information {1,0}
@ATTRIBUTE services {1,0}
@ATTRIBUTE combinatorica {1,0}
@ATTRIBUTE adaptive {1,0}
@ATTRIBUTE interaction {1,0}
@ATTRIBUTE geometry {1,0}
@ATTRIBUTE ieee {1,0}
@ATTRIBUTE annals {1,0}
@ATTRIBUTE combinatorics {1,0}
@ATTRIBUTE logical {1,0}
@ATTRIBUTE russian {1,0}
@ATTRIBUTE verification {1,0}
@ATTRIBUTE computation {1,0}
@ATTRIBUTE blended {1,0}
@ATTRIBUTE virtual {1,0}
@ATTRIBUTE assisted {1,0}
@ATTRIBUTE development {1,0}
@ATTRIBUTE aspects {1,0}
@ATTRIBUTE decision {1,0}
@ATTRIBUTE statistical {1,0}
@ATTRIBUTE minds {1,0}
@ATTRIBUTE computers {1,0}
@ATTRIBUTE acquisition {1,0}
@ATTRIBUTE ubiquitous {1,0}14mp imagem panorâmica zoom -> 76
@ATTRIBUTE pedagogy {1,0}
@ATTRIBUTE networking {1,0}
@ATTRIBUTE mathematical {1,0}
@ATTRIBUTE sciences {1,0}
@ATTRIBUTE ergonomics {1,0}
@ATTRIBUTE research {1,0}
@ATTRIBUTE supercomputing {1,0}
@ATTRIBUTE machines {1,0}
@ATTRIBUTE combinatorial {1,0}
@ATTRIBUTE reasoning {1,0}
@ATTRIBUTE recall {1,0}
@ATTRIBUTE based {1,0}
@ATTRIBUTE technology {1,0}
@ATTRIBUTE monday {1,0}
@ATTRIBUTE recognition {1,0}
@ATTRIBUTE kairos {1,0}
@ATTRIBUTE functional {1,0}
@ATTRIBUTE reliability {1,0}
@ATTRIBUTE computing {1,0}
@ATTRIBUTE fuzziness {1,0}
@ATTRIBUTE algebraic {1,0}
@ATTRIBUTE radiology {1,0}
@ATTRIBUTE icga {1,0}
@ATTRIBUTE foundations {1,0}
@ATTRIBUTE tools {1,0}
@ATTRIBUTE wavelets {1,0}
@ATTRIBUTE sets {1,0}
@ATTRIBUTE applications {1,0}
@ATTRIBUTE algorithms {1,0}
@ATTRIBUTE biology {1,0}
@ATTRIBUTE systems {1,0}
@ATTRIBUTE algol {1,0}
@ATTRIBUTE reviews {1,0}
@ATTRIBUTE algorithmica {1,0}
@ATTRIBUTE global {1,0}
@ATTRIBUTE symbolic {1,0}
@ATTRIBUTE shape {1,0}
@ATTRIBUTE machine {1,0}
@ATTRIBUTE formal {1,0}
@ATTRIBUTE cognitive {1,0}
@ATTRIBUTE program {1,0}
@ATTRIBUTE issues {1,0}
@ATTRIBUTE proceedings {1,0}
@ATTRIBUTE bulletin {1,0}
@ATTRIBUTE surveys {1,0}
@ATTRIBUTE mining {1,0}
@ATTRIBUTE informatica {1,0}
@ATTRIBUTE gaming {1,0}
@ATTRIBUTE agents {1,0}
@ATTRIBUTE theory {1,0}
@ATTRIBUTE digest {1,0}
@ATTRIBUTE security {1,0}
@ATTRIBUTE object {1,0}
@ATTRIBUTE evaluation {1,0}
@ATTRIBUTE graph {1,0}
@ATTRIBUTE order {1,0}
@ATTRIBUTE informatics {1,0}
@ATTRIBUTE grid {1,0}
@ATTRIBUTE graphics {1,0}
@ATTRIBUTE making {1,0}
@ATTRIBUTE acm {1,0}
@ATTRIBUTE vision {1,0}
@ATTRIBUTE database {1,0}
@ATTRIBUTE human {1,0}
@ATTRIBUTE multimedia {1,0}
@ATTRIBUTE applied {1,0}
@ATTRIBUTE scientific {1,0}
@ATTRIBUTE cluster {1,0}
@ATTRIBUTE innovations {1,0}
@ATTRIBUTE classe INTEGER
@DATA
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
